comuna,ica,fecha,id
comuna 2,52,2024-06-23,30856
comuna 15,63,2024-07-31,46460
comuna 12,65,2024-01-30,38162
comuna 9,51,2024-07-31,12282
comuna 12,13,2024-06-23,28605
comuna 9,93,2024-06-23,28348
comuna 5,90,2024-07-31,9499
comuna 11,50,2024-01-30,12386
comuna 14,70,2024-06-23,19482
comuna 12,53,2024-07-31,7538
comuna 9,94,2024-01-30,22887
comuna 12,88,2024-06-23,6222
comuna 10,42,2024-01-30,7830
comuna 15,63,2024-01-30,39298
comuna 3,28,2024-06-23,46626
comuna 13,28,2024-06-23,36897
comuna 1,82,2024-01-30,14326
comuna 11,84,2024-07-31,31497
comuna 2,94,2024-01-30,9747
comuna 6,69,2024-06-23,1154
comuna 5,91,2024-06-25,32655
comuna 16,99,2024-07-31,13933
comuna 9,95,2024-07-31,11461
comuna 11,77,2024-06-23,18392
comuna 4,95,2024-07-31,3125
comuna 14,16,2024-07-31,19790
comuna 4,99,2024-06-23,6647
comuna 10,46,2024-07-31,15490
comuna 7,47,2024-06-25,42859
comuna 7,70,2024-01-30,29168
comuna 11,64,2024-07-31,26288
comuna 1,98,2024-01-30,31335
comuna 6,70,2024-07-31,46524
comuna 6,89,2024-07-31,11635
comuna 6,79,2024-01-30,2552
comuna 3,25,2024-07-31,28515
comuna 1,22,2024-07-31,35961
comuna 8,93,2024-06-23,34152
comuna 1,29,2024-06-23,33151
comuna 8,50,2024-01-30,24615
comuna 1,86,2024-01-30,46176
comuna 2,58,2024-06-25,43987
comuna 4,24,2024-06-23,44130
comuna 7,93,2024-06-23,49207
comuna 1,46,2024-07-31,31961
comuna 16,25,2024-06-25,36911
comuna 15,59,2024-06-23,9814
comuna 7,84,2024-01-30,30042
comuna 13,87,2024-06-25,36871
comuna 16,68,2024-07-31,17310
comuna 15,49,2024-06-25,30905
comuna 9,52,2024-07-31,1715
comuna 4,26,2024-07-31,9333
comuna 3,27,2024-06-23,38197
comuna 8,76,2024-01-30,27531
comuna 9,92,2024-06-23,17443
comuna 12,64,2024-06-25,17641
comuna 15,30,2024-06-23,28920
comuna 11,36,2024-06-25,19631
comuna 6,24,2024-06-25,43263
comuna 9,95,2024-07-31,47298
comuna 13,12,2024-07-31,27292
comuna 3,23,2024-07-31,18675
comuna 16,17,2024-07-31,31273
comuna 2,38,2024-06-23,24828
comuna 12,94,2024-07-31,37797
comuna 3,32,2024-06-25,43488
comuna 6,34,2024-06-25,36332
comuna 12,77,2024-06-25,49652
comuna 13,20,2024-07-31,17988
comuna 11,26,2024-06-23,7586
comuna 3,27,2024-01-30,33123
comuna 4,88,2024-01-30,4251
comuna 2,99,2024-01-30,23579
comuna 4,91,2024-07-31,24516
comuna 8,81,2024-06-25,28964
comuna 15,91,2024-06-25,39819
comuna 14,33,2024-06-23,1429
comuna 1,32,2024-01-30,15359
comuna 3,24,2024-01-30,11200
comuna 7,68,2024-07-31,10846
comuna 5,76,2024-07-31,14392
comuna 8,90,2024-07-31,10946
comuna 8,60,2024-06-23,37237
comuna 8,56,2024-01-30,48779
comuna 14,41,2024-07-31,10739
comuna 7,82,2024-06-25,2917
comuna 8,23,2024-06-25,12421
comuna 7,19,2024-06-23,33971
comuna 4,12,2024-07-31,45788
comuna 1,85,2024-01-30,13728
comuna 9,54,2024-06-25,32780
comuna 6,53,2024-06-23,21258
comuna 15,25,2024-06-25,10548
comuna 4,43,2024-06-25,48632
comuna 15,21,2024-07-31,12431
comuna 4,70,2024-07-31,13508
comuna 3,25,2024-01-30,46589
comuna 5,93,2024-01-30,37608
comuna 15,73,2024-06-23,43098
comuna 11,57,2024-01-30,48863
comuna 5,99,2024-06-23,6982
comuna 11,68,2024-06-25,47731
comuna 2,97,2024-06-25,20939
comuna 12,32,2024-06-25,21002
comuna 1,32,2024-01-30,18252
comuna 7,43,2024-07-31,15623
comuna 8,18,2024-06-23,11459
comuna 3,42,2024-01-30,38938
comuna 10,92,2024-06-23,26807
comuna 2,94,2024-01-30,44942
comuna 3,28,2024-07-31,2826
comuna 2,30,2024-01-30,2682
comuna 10,89,2024-01-30,48163
comuna 3,36,2024-06-23,243
comuna 9,98,2024-06-25,24500
comuna 9,85,2024-01-30,36229
comuna 16,46,2024-06-23,19900
comuna 12,33,2024-07-31,10555
comuna 5,51,2024-01-30,15040
comuna 4,96,2024-01-30,19305
comuna 14,47,2024-06-25,28312
comuna 7,78,2024-01-30,29594
comuna 4,35,2024-06-25,19075
comuna 6,20,2024-06-25,41289
comuna 8,97,2024-07-31,14982
comuna 1,82,2024-01-30,9740
comuna 7,50,2024-01-30,42968
comuna 11,52,2024-06-25,34442
comuna 9,39,2024-07-31,45896
comuna 15,88,2024-06-23,15151
comuna 16,57,2024-06-25,1176
comuna 4,30,2024-06-25,25858
comuna 14,47,2024-06-23,31372
comuna 3,47,2024-06-23,28293
comuna 2,50,2024-06-23,30582
comuna 4,65,2024-01-30,23247
comuna 4,93,2024-06-25,14902
comuna 12,30,2024-06-23,21947
comuna 13,70,2024-06-25,43706
comuna 12,56,2024-07-31,11955
comuna 6,33,2024-01-30,40755
comuna 2,11,2024-07-31,40028
comuna 2,42,2024-06-25,471
comuna 5,29,2024-07-31,30449
comuna 13,92,2024-07-31,31442
comuna 9,11,2024-07-31,36835
comuna 14,71,2024-06-25,17440
comuna 4,75,2024-06-23,35777
comuna 3,66,2024-06-23,16871
comuna 8,81,2024-07-31,32075
comuna 14,33,2024-06-25,12836
comuna 14,30,2024-06-25,30649
comuna 4,36,2024-01-30,16463
comuna 10,89,2024-06-23,24142
comuna 13,50,2024-06-23,17030
comuna 9,57,2024-01-30,44527
comuna 8,47,2024-07-31,18879
comuna 1,42,2024-07-31,30183
comuna 8,87,2024-06-25,12887
comuna 16,94,2024-06-25,27414
comuna 5,50,2024-01-30,28460
comuna 4,70,2024-06-23,7095
comuna 12,66,2024-01-30,40082
comuna 9,97,2024-06-25,1543
comuna 1,34,2024-07-31,1197
comuna 9,68,2024-06-25,43353
comuna 16,16,2024-06-23,44780
comuna 12,24,2024-06-25,31175
comuna 4,95,2024-07-31,44283
comuna 14,18,2024-01-30,45890
comuna 3,60,2024-06-23,21879
comuna 13,98,2024-06-23,36937
comuna 8,69,2024-06-23,22250
comuna 4,51,2024-06-25,45183
comuna 16,59,2024-06-23,25697
comuna 4,59,2024-07-31,36185
comuna 16,71,2024-06-23,3129
comuna 4,92,2024-06-25,30203
comuna 3,100,2024-06-23,45594
comuna 2,81,2024-07-31,24036
comuna 10,17,2024-06-25,2216
comuna 9,40,2024-06-25,32531
comuna 11,20,2024-07-31,49845
comuna 1,74,2024-01-30,31729
comuna 5,44,2024-07-31,4062
comuna 5,100,2024-07-31,31195
comuna 15,36,2024-06-25,45378
comuna 11,69,2024-06-25,43882
comuna 14,45,2024-06-25,25072
comuna 1,90,2024-06-25,39183
comuna 7,77,2024-06-23,5899
comuna 6,57,2024-06-25,29623
comuna 14,59,2024-07-31,24562
comuna 13,71,2024-07-31,9224
comuna 5,15,2024-06-23,40979
comuna 8,95,2024-06-23,9507
comuna 4,20,2024-07-31,25428
comuna 12,84,2024-06-25,31346
comuna 11,59,2024-06-25,45253
comuna 7,71,2024-07-31,2786
comuna 5,96,2024-07-31,8576
comuna 3,62,2024-06-25,23591
comuna 10,14,2024-07-31,4486
comuna 5,27,2024-01-30,29113
comuna 15,30,2024-06-23,18897
comuna 12,99,2024-06-25,43232
comuna 2,52,2024-06-23,2238
comuna 13,49,2024-01-30,33091
comuna 3,24,2024-07-31,46094
comuna 12,87,2024-06-25,38012
comuna 8,55,2024-07-31,47722
comuna 1,20,2024-01-30,30075
comuna 5,15,2024-06-25,9078
comuna 8,78,2024-06-23,26212
comuna 1,17,2024-01-30,8681
comuna 7,85,2024-06-23,18248
comuna 15,32,2024-07-31,23717
comuna 3,85,2024-06-23,24863
comuna 15,27,2024-01-30,27793
comuna 15,79,2024-06-23,12494
comuna 7,45,2024-07-31,45467
comuna 9,36,2024-01-30,2625
comuna 14,51,2024-01-30,33475
comuna 7,22,2024-07-31,26690
comuna 10,99,2024-01-30,1480
comuna 4,91,2024-07-31,6531
comuna 5,96,2024-06-25,17915
comuna 12,62,2024-01-30,19286
comuna 16,93,2024-07-31,28066
comuna 13,91,2024-06-25,17073
comuna 7,82,2024-06-23,438
comuna 1,46,2024-06-23,2931
comuna 15,85,2024-06-25,10823
comuna 4,24,2024-01-30,24108
comuna 12,85,2024-07-31,32497
comuna 2,72,2024-06-23,34841
comuna 9,61,2024-06-25,32802
comuna 9,75,2024-01-30,32678
comuna 11,96,2024-06-23,3881
comuna 2,69,2024-06-23,49663
comuna 13,14,2024-07-31,12462
comuna 2,18,2024-07-31,12274
comuna 15,78,2024-06-23,49809
comuna 10,98,2024-06-23,7998
comuna 2,56,2024-07-31,31224
comuna 5,58,2024-06-23,2353
comuna 10,14,2024-07-31,6573
comuna 13,65,2024-06-25,26743
comuna 9,65,2024-07-31,3342
comuna 1,63,2024-06-23,32573
comuna 2,27,2024-06-23,46975
comuna 4,87,2024-06-23,14462
comuna 14,15,2024-06-23,38914
comuna 1,28,2024-01-30,20078
comuna 16,84,2024-06-23,28629
comuna 8,61,2024-01-30,44785
comuna 13,45,2024-01-30,27621
comuna 3,33,2024-07-31,178
comuna 11,32,2024-07-31,29608
comuna 2,72,2024-01-30,30875
comuna 2,13,2024-06-25,7592
comuna 5,58,2024-06-25,2663
comuna 12,68,2024-06-23,17984
comuna 15,48,2024-06-23,7653
comuna 2,72,2024-07-31,28539
comuna 5,44,2024-06-23,34476
comuna 7,51,2024-01-30,48094
comuna 5,26,2024-01-30,3921
comuna 15,91,2024-01-30,22690
comuna 4,38,2024-06-23,25893
comuna 1,77,2024-01-30,43635
comuna 13,58,2024-07-31,23960
comuna 7,38,2024-07-31,44129
comuna 1,98,2024-01-30,45537
comuna 3,45,2024-06-23,36873
comuna 11,33,2024-06-23,45415
comuna 5,15,2024-07-31,17229
comuna 16,29,2024-07-31,12605
comuna 7,75,2024-06-23,11251
comuna 14,41,2024-07-31,3882
comuna 3,100,2024-06-23,28844
comuna 8,42,2024-06-25,27460
comuna 13,95,2024-01-30,39437
comuna 14,14,2024-01-30,32715
comuna 6,25,2024-06-25,8701
comuna 6,78,2024-07-31,1577
comuna 15,92,2024-06-23,20910
comuna 4,79,2024-06-23,30123
comuna 15,76,2024-07-31,2301
comuna 15,10,2024-07-31,26660
comuna 16,72,2024-07-31,6233
comuna 11,73,2024-01-30,3580
comuna 6,59,2024-07-31,918
comuna 1,32,2024-06-25,30919
comuna 6,40,2024-01-30,6346
comuna 15,20,2024-06-25,18931
comuna 6,66,2024-07-31,30816
comuna 14,58,2024-07-31,18927
comuna 16,24,2024-01-30,22455
comuna 1,63,2024-06-23,30252
comuna 11,35,2024-07-31,31863
comuna 4,51,2024-06-23,38655
comuna 8,95,2024-06-23,29799
comuna 3,37,2024-07-31,35366
comuna 16,61,2024-06-23,32759
comuna 5,99,2024-01-30,14846
comuna 5,39,2024-07-31,1876
comuna 2,57,2024-06-23,10347
comuna 15,22,2024-06-23,19326
comuna 15,63,2024-07-31,36386
comuna 10,88,2024-01-30,49886
comuna 13,81,2024-01-30,25663
comuna 5,20,2024-06-25,13194
comuna 9,51,2024-07-31,30094
comuna 13,57,2024-06-23,13297
comuna 4,26,2024-01-30,19695
comuna 15,97,2024-06-25,6848
comuna 15,89,2024-06-23,3167
comuna 8,30,2024-06-23,44963
comuna 4,42,2024-01-30,37614
comuna 16,45,2024-07-31,24484
comuna 10,78,2024-01-30,3672
comuna 5,61,2024-07-31,9616
comuna 12,86,2024-01-30,23311
comuna 11,86,2024-06-25,19817
comuna 16,60,2024-06-25,31567
comuna 9,74,2024-01-30,3317
comuna 7,25,2024-07-31,47906
comuna 1,10,2024-06-23,7787
comuna 13,82,2024-06-23,44431
comuna 10,68,2024-07-31,32783
comuna 7,55,2024-06-25,36629
comuna 4,77,2024-06-25,20343
comuna 12,59,2024-07-31,26587
comuna 10,50,2024-01-30,46170
comuna 12,38,2024-06-25,36217
comuna 7,81,2024-07-31,20872
comuna 9,65,2024-01-30,44611
comuna 15,91,2024-06-23,35601
comuna 6,86,2024-01-30,17282
comuna 2,22,2024-06-25,23526
comuna 6,40,2024-07-31,42047
comuna 10,70,2024-07-31,1489
comuna 9,33,2024-07-31,33891
comuna 7,15,2024-01-30,8425
comuna 9,48,2024-06-25,21841
comuna 11,73,2024-07-31,42497
comuna 9,74,2024-06-25,6718
comuna 10,25,2024-07-31,46912
comuna 8,38,2024-07-31,14093
comuna 6,13,2024-01-30,32446
comuna 10,71,2024-01-30,42233
comuna 11,46,2024-06-23,15467
comuna 2,76,2024-06-23,32006
comuna 13,46,2024-06-25,17323
comuna 10,10,2024-01-30,24502
comuna 15,59,2024-01-30,32311
comuna 14,98,2024-01-30,36675
comuna 11,99,2024-06-25,36171
comuna 6,27,2024-06-23,24694
comuna 6,69,2024-07-31,5010
comuna 1,39,2024-07-31,38386
comuna 8,87,2024-01-30,4394
comuna 2,17,2024-06-23,4264
comuna 10,83,2024-06-25,46551
comuna 14,27,2024-06-23,11808
comuna 9,77,2024-06-23,1523
comuna 7,13,2024-06-23,29223
comuna 9,15,2024-06-23,9914
comuna 5,95,2024-01-30,33417
comuna 16,56,2024-07-31,35394
comuna 8,64,2024-06-25,20087
comuna 8,87,2024-06-23,31160
comuna 8,18,2024-06-25,42925
comuna 5,69,2024-01-30,24339
comuna 14,79,2024-06-25,22499
comuna 12,61,2024-01-30,47433
comuna 3,83,2024-07-31,34416
comuna 7,47,2024-01-30,20548
comuna 1,70,2024-07-31,12892
comuna 14,57,2024-06-25,25743
comuna 12,79,2024-06-23,13547
comuna 3,66,2024-07-31,39848
comuna 2,58,2024-06-25,39681
comuna 8,88,2024-07-31,8352
comuna 6,54,2024-01-30,23293
comuna 1,59,2024-06-25,14992
comuna 8,51,2024-06-25,5071
comuna 8,47,2024-07-31,18161
comuna 16,71,2024-06-25,4720
comuna 9,16,2024-07-31,43512
comuna 2,27,2024-01-30,30550
comuna 14,42,2024-06-25,22056
comuna 5,40,2024-07-31,39220
comuna 15,70,2024-06-23,10292
comuna 16,82,2024-06-23,2506
comuna 14,81,2024-06-25,5572
comuna 14,71,2024-06-25,32070
comuna 12,55,2024-06-23,40483
comuna 4,27,2024-06-23,39244
comuna 6,93,2024-07-31,37820
comuna 8,22,2024-07-31,1381
comuna 15,20,2024-07-31,45383
comuna 16,46,2024-06-25,1681
comuna 11,36,2024-01-30,11339
comuna 5,57,2024-06-23,2025
comuna 3,28,2024-06-25,49649
comuna 16,59,2024-06-25,5927
comuna 13,65,2024-01-30,34686
comuna 8,66,2024-01-30,4998
comuna 13,54,2024-07-31,47212
comuna 1,42,2024-01-30,34908
comuna 7,34,2024-06-23,26865
comuna 1,31,2024-07-31,37186
comuna 4,39,2024-01-30,19839
comuna 6,48,2024-01-30,48171
comuna 3,40,2024-07-31,46754
comuna 4,82,2024-06-25,12134
comuna 4,12,2024-01-30,32455
comuna 14,95,2024-06-25,17876
comuna 7,97,2024-06-23,6437
comuna 1,32,2024-01-30,4692
comuna 5,89,2024-01-30,23989
comuna 15,21,2024-06-23,32276
comuna 11,67,2024-06-23,1626
comuna 15,49,2024-01-30,3952
comuna 7,41,2024-01-30,35999
comuna 7,38,2024-06-25,818
comuna 5,51,2024-01-30,41105
comuna 3,40,2024-07-31,28420
comuna 15,34,2024-01-30,2467
comuna 16,51,2024-06-23,14988
comuna 9,18,2024-07-31,26837
comuna 6,34,2024-06-23,4730
comuna 3,60,2024-06-23,45796
comuna 9,100,2024-01-30,1617
comuna 6,10,2024-06-25,4082
comuna 1,30,2024-01-30,25752
comuna 9,65,2024-06-25,32487
comuna 9,82,2024-06-25,42283
comuna 2,25,2024-01-30,1248
comuna 3,28,2024-06-23,36373
comuna 6,36,2024-01-30,3716
comuna 14,85,2024-07-31,8206
comuna 16,57,2024-06-23,41118
comuna 4,81,2024-07-31,37895
comuna 12,74,2024-06-23,18769
comuna 15,49,2024-06-23,8785
comuna 8,32,2024-07-31,8417
comuna 14,85,2024-01-30,36514
comuna 10,79,2024-07-31,41000
comuna 1,70,2024-06-25,13759
comuna 5,74,2024-06-25,31840
comuna 12,67,2024-01-30,45164
comuna 6,86,2024-01-30,31347
comuna 14,66,2024-01-30,31236
comuna 14,82,2024-07-31,39661
comuna 12,89,2024-01-30,9627
comuna 12,10,2024-01-30,15145
comuna 5,63,2024-01-30,32634
comuna 8,61,2024-01-30,10162
comuna 13,30,2024-06-25,12061
comuna 5,71,2024-06-23,19483
comuna 14,37,2024-07-31,44615
comuna 6,17,2024-06-23,19560
comuna 15,66,2024-06-25,4872
comuna 5,39,2024-06-25,32136
comuna 5,47,2024-06-25,18821
comuna 9,37,2024-07-31,26021
comuna 7,88,2024-01-30,32813
comuna 2,77,2024-06-25,41195
comuna 5,44,2024-01-30,24509
comuna 13,46,2024-07-31,26318
comuna 15,98,2024-01-30,12677
comuna 16,87,2024-01-30,36322
comuna 15,49,2024-06-23,14561
comuna 1,16,2024-07-31,36319
comuna 12,36,2024-06-23,39198
comuna 4,100,2024-06-23,23107
comuna 7,76,2024-06-25,43035
comuna 8,27,2024-06-23,16242
comuna 8,11,2024-06-25,40568
comuna 3,59,2024-06-23,29709
comuna 4,23,2024-06-25,893
comuna 12,96,2024-07-31,27662
comuna 12,12,2024-01-30,4532
comuna 1,91,2024-06-25,7675
comuna 16,91,2024-07-31,25829
comuna 14,44,2024-06-25,29573
comuna 12,74,2024-06-23,10647
comuna 5,52,2024-07-31,11927
comuna 4,50,2024-07-31,598
comuna 4,75,2024-01-30,40349
comuna 4,34,2024-06-23,46586
comuna 9,56,2024-07-31,1468
comuna 2,15,2024-01-30,28276
comuna 9,65,2024-01-30,5290
comuna 7,38,2024-01-30,36708
comuna 4,86,2024-01-30,18140
comuna 11,57,2024-06-25,30531
comuna 5,61,2024-06-25,22125
comuna 5,94,2024-06-23,17795
comuna 10,91,2024-07-31,3092
comuna 4,72,2024-06-23,38593
comuna 16,77,2024-01-30,34237
comuna 9,88,2024-01-30,3626
comuna 4,70,2024-06-23,1386
comuna 9,50,2024-06-23,29567
comuna 3,59,2024-06-25,2304
comuna 4,82,2024-07-31,25203
comuna 1,20,2024-01-30,49472
comuna 9,58,2024-06-23,42560
comuna 7,37,2024-06-23,34136
comuna 1,96,2024-06-25,42236
comuna 14,92,2024-06-25,42327
comuna 10,34,2024-06-25,32987
comuna 9,23,2024-06-25,34991
comuna 14,21,2024-01-30,9710
comuna 15,48,2024-07-31,43219
comuna 11,67,2024-07-31,39353
comuna 10,12,2024-06-25,14009
comuna 15,26,2024-06-23,39759
comuna 16,64,2024-06-25,20200
comuna 8,45,2024-06-25,9976
comuna 5,92,2024-07-31,36518
comuna 7,43,2024-01-30,23473
comuna 9,21,2024-06-25,26282
comuna 15,16,2024-01-30,30844
comuna 8,84,2024-06-23,20487
comuna 7,53,2024-06-25,3134
comuna 8,43,2024-01-30,35145
comuna 2,100,2024-01-30,20457
comuna 12,21,2024-06-23,2412
comuna 9,73,2024-07-31,18599
comuna 11,50,2024-06-25,44913
comuna 12,69,2024-06-23,49708
comuna 14,32,2024-06-23,20040
comuna 4,96,2024-06-23,31827
comuna 1,82,2024-06-25,6958
comuna 16,59,2024-06-23,26843
comuna 6,92,2024-01-30,19598
comuna 11,88,2024-06-23,18019
comuna 14,26,2024-06-25,33562
comuna 2,65,2024-06-23,48987
comuna 4,75,2024-06-23,28776
comuna 13,96,2024-06-25,15344
comuna 6,94,2024-07-31,2502
comuna 11,41,2024-07-31,44795
comuna 5,58,2024-06-25,21957
comuna 8,12,2024-01-30,27052
comuna 16,88,2024-06-23,259
comuna 2,13,2024-07-31,19449
comuna 13,87,2024-06-25,35726
comuna 5,30,2024-06-25,2845
comuna 15,50,2024-01-30,21478
comuna 16,86,2024-06-25,31684
comuna 16,100,2024-06-25,4226
comuna 11,32,2024-07-31,12912
comuna 11,70,2024-06-23,23221
comuna 3,87,2024-07-31,1806
comuna 7,95,2024-06-23,40862
comuna 1,86,2024-07-31,23732
comuna 9,23,2024-07-31,3972
comuna 11,42,2024-06-25,46081
comuna 12,39,2024-06-23,32113
comuna 4,43,2024-07-31,49571
comuna 3,100,2024-06-25,34243
comuna 2,51,2024-06-23,12903
comuna 12,78,2024-06-25,28586
comuna 9,78,2024-07-31,38899
comuna 13,87,2024-06-23,31584
comuna 4,92,2024-06-23,11189
comuna 14,72,2024-07-31,34630
comuna 10,55,2024-06-23,21347
comuna 11,62,2024-06-25,45881
comuna 5,44,2024-01-30,4650
comuna 2,98,2024-01-30,40303
comuna 15,81,2024-06-25,26819
comuna 8,87,2024-06-25,47976
comuna 12,62,2024-06-23,20341
comuna 3,42,2024-06-25,36203
comuna 8,90,2024-01-30,35171
comuna 5,22,2024-07-31,7536
comuna 1,83,2024-06-23,30935
comuna 2,42,2024-07-31,37807
comuna 6,98,2024-06-25,38424
comuna 10,96,2024-07-31,22526
comuna 9,46,2024-07-31,7290
comuna 10,61,2024-06-25,94
comuna 3,44,2024-01-30,21461
comuna 13,22,2024-07-31,16987
comuna 12,72,2024-06-25,36525
comuna 13,79,2024-07-31,3201
comuna 15,38,2024-06-23,45758
comuna 3,38,2024-07-31,11243
comuna 1,91,2024-06-23,48427
comuna 2,50,2024-06-25,31012
comuna 1,29,2024-01-30,24226
comuna 1,97,2024-01-30,22419
comuna 1,59,2024-06-25,32189
comuna 12,13,2024-07-31,48014
comuna 13,66,2024-06-25,4906
comuna 7,30,2024-07-31,103
comuna 8,57,2024-07-31,32970
comuna 4,77,2024-06-25,24673
comuna 5,27,2024-06-25,47654
comuna 13,22,2024-06-25,49052
comuna 2,18,2024-01-30,22717
comuna 4,56,2024-07-31,14840
comuna 6,56,2024-06-23,48778
comuna 1,66,2024-07-31,2932
comuna 13,90,2024-06-25,27822
comuna 3,57,2024-01-30,52
comuna 15,21,2024-07-31,39284
comuna 16,20,2024-06-25,27654
comuna 11,53,2024-07-31,21205
comuna 4,40,2024-06-23,26548
comuna 14,37,2024-01-30,24085
comuna 13,42,2024-06-23,47881
comuna 2,88,2024-01-30,26494
comuna 3,15,2024-06-25,7857
comuna 1,33,2024-07-31,27689
comuna 6,73,2024-01-30,10511
comuna 12,83,2024-06-23,2418
comuna 15,67,2024-06-25,49382
comuna 7,21,2024-01-30,39584
comuna 1,14,2024-06-23,2801
comuna 7,11,2024-01-30,42414
comuna 6,37,2024-06-25,32517
comuna 1,78,2024-01-30,48028
comuna 6,40,2024-07-31,33218
comuna 3,65,2024-06-23,23603
comuna 9,100,2024-06-25,24644
comuna 2,34,2024-06-23,34326
comuna 7,72,2024-07-31,26151
comuna 3,90,2024-01-30,13586
comuna 4,12,2024-06-23,28993
comuna 4,22,2024-07-31,1859
comuna 10,11,2024-06-23,41964
comuna 1,22,2024-07-31,23521
comuna 3,36,2024-07-31,36869
comuna 13,71,2024-06-23,41936
comuna 14,84,2024-06-23,40788
comuna 14,59,2024-06-23,22211
comuna 7,52,2024-06-23,14386
comuna 15,100,2024-06-23,28361
comuna 8,27,2024-01-30,9895
comuna 1,18,2024-06-25,45325
comuna 15,30,2024-06-23,41984
comuna 5,43,2024-07-31,15962
comuna 14,59,2024-07-31,27386
comuna 9,52,2024-06-25,10741
comuna 8,46,2024-07-31,30722
comuna 2,40,2024-07-31,13699
comuna 13,66,2024-06-25,33811
comuna 9,75,2024-06-23,15735
comuna 12,25,2024-06-25,24181
comuna 5,59,2024-06-23,36678
comuna 5,23,2024-06-25,27647
comuna 14,64,2024-06-25,10944
comuna 14,53,2024-07-31,15956
comuna 14,91,2024-06-23,49321
comuna 15,22,2024-06-25,38035
comuna 4,11,2024-06-23,35406
comuna 5,36,2024-01-30,47405
comuna 16,41,2024-06-23,47555
comuna 10,45,2024-06-23,21096
comuna 9,58,2024-01-30,5556
comuna 6,44,2024-06-23,2147
comuna 8,28,2024-01-30,28184
comuna 12,89,2024-06-25,15741
comuna 7,92,2024-06-23,18268
comuna 6,32,2024-07-31,18747
comuna 3,17,2024-01-30,37073
comuna 7,50,2024-06-23,42355
comuna 5,91,2024-01-30,30449
comuna 7,29,2024-07-31,2345
comuna 9,70,2024-07-31,30216
comuna 14,20,2024-06-25,1497
comuna 15,90,2024-07-31,19266
comuna 1,49,2024-06-25,3049
comuna 16,18,2024-07-31,21779
comuna 3,49,2024-06-23,49216
comuna 7,79,2024-01-30,23003
comuna 8,73,2024-07-31,16368
comuna 15,84,2024-06-25,21578
comuna 15,54,2024-01-30,11874
comuna 10,14,2024-07-31,32095
comuna 8,79,2024-07-31,2990
comuna 11,10,2024-07-31,2827
comuna 9,79,2024-07-31,40329
comuna 6,30,2024-01-30,27660
comuna 7,16,2024-06-23,761
comuna 8,93,2024-01-30,7414
comuna 11,40,2024-07-31,13378
comuna 4,78,2024-06-25,6027
comuna 2,75,2024-07-31,10084
comuna 5,67,2024-06-25,16984
comuna 9,69,2024-06-23,44493
comuna 15,84,2024-06-25,32373
comuna 11,12,2024-06-25,39316
comuna 13,35,2024-06-23,33274
